date,strategy_net,benchmark_net
2023-03-27,0.9515203279586218,0.8748263828272066
2023-03-28,0.9519683130471146,0.8720089467632935
2023-03-29,0.9511927178502277,0.8833157029823135
2023-03-30,0.9511927178502277,0.8811486701822258
2023-04-02,0.9511927178502277,0.8824584265946439
2023-04-03,0.9511927178502277,0.8846818066910234
2023-04-05,0.9511927178502277,0.8768492610857263
2023-04-06,0.9511927178502277,0.8884190495723309
2023-04-09,0.9511927178502277,0.8906333773384582
2023-04-10,0.9511927178502277,0.8848897822338094
2023-04-11,0.9508360205810339,0.8784652511954337
2023-04-12,0.955318111405645,0.8825297537950423
2023-04-13,0.9562626061181828,0.8852745066074745
2023-04-16,0.9598335066851175,0.9069073393675913
2023-04-17,0.9619010092745975,0.9175681337500932
2023-04-18,0.9593998028818489,0.9119092269790682
2023-04-19,0.9618481676992938,0.9109621011418332
2023-04-20,0.9588138832668065,0.8979872451605518
2023-04-23,0.9602326361309956,0.8881994583740601
2023-04-24,0.9616912192874644,0.8941343074928145
2023-04-25,0.9586482062813204,0.8890031517813419
2023-04-26,0.9602045588550377,0.9012387585147104
2023-04-27,0.962291359396682,0.9197902988411002
2023-05-03,0.9646377272903055,0.9300951349556102
2023-05-04,0.9587940418647355,0.9277426481992286
2023-05-07,0.9604935386527378,0.9381452761210898
2023-05-08,0.9568892933878005,0.9272993720808737
2023-05-09,0.9554240006375598,0.9185261664133461
2023-05-10,0.9552131121714103,0.9171664009420158
2023-05-11,0.9529459768381854,0.9093162346248668
2023-05-14,0.9607062014364013,0.9286616695924559
2023-05-15,0.9619863270137782,0.9256652422342794
2023-05-16,0.9588717293615597,0.916568481808769
2023-05-17,0.9586752343445935,0.9147708690270688
2023-05-18,0.9609281001600708,0.9134150263942008
2023-05-21,0.9618554437502008,0.9217286401589209
2023-05-22,0.959426095675359,0.9121981841229094
2023-05-23,0.9465084839144433,0.8915818051678038
2023-05-24,0.9469043444353095,0.8886400219481878
2023-05-25,0.9474863873527921,0.891368164005217
2023-05-28,0.9457188598979914,0.887311463486228
2023-05-29,0.9421928103686441,0.8817218182748263
2023-05-30,0.928937139618319,0.8630202496581522
2023-05-31,0.9311559647049168,0.8646361063591557
2023-06-01,0.9460983566192682,0.8874296740452474
2023-06-04,0.9508530972127868,0.8912868261689567
2023-06-05,0.9510068828277888,0.8910233378365908
2023-06-06,0.9530787037153672,0.893543478540778
2023-06-07,0.9611041217412126,0.9064924026826986
2023-06-08,0.9602609366234851,0.9022377694896038
2023-06-11,0.9585265976484345,0.9017020626709076
2023-06-12,0.9586635608787011,0.9019175488616666
2023-06-13,0.9617023161475257,0.9052395563834624
2023-06-14,0.9683285885771952,0.9161600122025956
2023-06-15,0.9712704618659336,0.9224757765082634
2023-06-18,0.9623869128450535,0.9061424460860129
2023-06-19,0.9613069789247324,0.9021966291003811
2023-06-20,0.9610702458196307,0.9009398138589106
2023-06-25,0.9578431180010926,0.8914932109845971
2023-06-26,0.9604647602218969,0.8962654019494762
2023-06-27,0.9601619279194045,0.8996843172025953
2023-06-28,0.9577762816973262,0.8949124284902535
2023-06-29,0.9577056937592491,0.8992244428270191
2023-07-02,0.9614570457018563,0.9150572536007854
2023-07-03,0.9611889399809065,0.9159316772685299
2023-07-04,0.9600878729189329,0.9104911997079744
2023-07-05,0.9576080405344106,0.9019317713869698
2023-07-06,0.9556418887842303,0.8994020383348622
2023-07-09,0.9528659189776986,0.8940665336212571
2023-07-10,0.9540601796571173,0.899942064268101
2023-07-11,0.9546272308665269,0.900946529332814
2023-07-12,0.9601316186264578,0.9160504052927791
2023-07-13,0.955419430647657,0.9126155703045368
2023-07-16,0.9501410869570417,0.9035260598044152
2023-07-17,0.9477283745561814,0.8984013978789984
2023-07-18,0.9487757169150777,0.9014891058638997
2023-07-19,0.9457642864493533,0.8982207940455466
2023-07-20,0.9481154067441324,0.9013227084969009
2023-07-23,0.9508646440262465,0.9004617257049564
2023-07-24,0.960517326033135,0.9321769140395331
2023-07-25,0.9605217383894571,0.9317750273153298
2023-07-26,0.9609942185274277,0.9366662521964136
2023-07-27,0.9694313847732654,0.9651748635090875
2023-07-30,0.9577375608176054,0.9583245214687758
2023-07-31,0.9530920538533519,0.9462787861039522
2023-08-01,0.9437552376106569,0.9357754132305821
2023-08-02,0.9485172495026974,0.9448603581988264
2023-08-03,0.9492401901107314,0.9410711569137206
2023-08-06,0.9456695543811756,0.9301415309783729
2023-08-07,0.9412318437293521,0.9287275214589226
2023-08-08,0.9431522751662151,0.9311008504602922
2023-08-09,0.9382057428273566,0.9241240174006331
2023-08-10,0.9196823585099924,0.9023053066568361
2023-08-13,0.9097748372344269,0.8961772853798007
2023-08-14,0.9114513364122969,0.8974949971262365
2023-08-15,0.9093588149765341,0.8959700331939091
2023-08-16,0.9073808387585962,0.8934295765496798
2023-08-17,0.9024222648543414,0.8853786833909358
2023-08-20,0.8921141275083211,0.8705359591407257
2023-08-21,0.8946534659386722,0.8746378670600023
2023-08-22,0.8880848055316133,0.8657388626126811
2023-08-23,0.8899029279367647,0.8756651843082411
2023-08-24,0.8954901878848897,0.8833668018062465
2023-08-27,0.9056176311706856,0.8986903393664851
2023-08-28,0.90355352088751,0.8964799012551962
2023-08-29,0.8994025120746477,0.8933090881036942
2023-08-30,0.8988575572691984,0.888920172895071
2023-08-31,0.9070698518529403,0.8993532603334272
2023-09-03,0.919616862579868,0.9131667373991091
2023-09-04,0.9109783637588634,0.9029663752356797
2023-09-05,0.9130057513756016,0.9053507170165025
2023-09-06,0.9094430754154245,0.8957665701784966
2023-09-07,0.9082371868686897,0.8926422147607406
2023-09-10,0.9081253747436387,0.9026479103403653
2023-09-11,0.9070505510325733,0.9030137429715374
2023-09-12,0.9060266299432207,0.898609919522432
2023-09-13,0.9052307923964209,0.9008338809215313
2023-09-14,0.902973303892047,0.8983119854429645
2023-09-17,0.9061959799739369,0.9042578595480452
2023-09-18,0.9056644416887291,0.9048702306077433
2023-09-19,0.9038248601017407,0.9029949975721351
2023-09-20,0.9000494678098526,0.8943496236970839
2023-09-21,0.9108856681122803,0.9132641523988654
2023-09-24,0.9058259817993722,0.909172526401583
2023-09-25,0.902945885267683,0.9042186668525389
2023-09-26,0.9031347828375934,0.9056286872481294
2023-09-27,0.9018461268467176,0.9015034100479764
2023-10-08,0.898651174600181,0.8964409164340332
2023-10-09,0.8968082262025264,0.8916466967571351
2023-10-10,0.8984860243381936,0.8945737856997948
2023-10-11,0.9017652188743662,0.9030258229236617
2023-10-12,0.8994591999530867,0.8942712773671297
2023-10-15,0.8973362728024291,0.8878819931870452
2023-10-16,0.8983622529654559,0.8929668546838735
2023-10-17,0.8967322012476687,0.887384752574645
2023-10-18,0.8956744906535619,0.8626483512366702
2023-10-19,0.8939056167756447,0.8592908123683478
2023-10-22,0.8948024767547043,0.8558247829889335
2023-10-23,0.8952215879850343,0.8570699277791219
2023-10-24,0.8950649346506925,0.8608228724742826
2023-10-25,0.8983848308744261,0.8651722096764032
2023-10-26,0.9007801160486432,0.8735591452196175
2023-10-29,0.9037070010069217,0.8726599960214063
2023-10-30,0.907009308421818,0.8761877584011467
2023-10-31,0.9070808692235555,0.8811364649881019
2023-11-01,0.9069139861788602,0.8834415905089911
2023-11-02,0.9060068812232169,0.8854627630631611
2023-11-05,0.9076143414791804,0.8936431242744357
2023-11-06,0.9080332726797465,0.8881353172951882
2023-11-07,0.9099732755250123,0.8863342853679176
2023-11-08,0.9080837774634106,0.880678502108973
2023-11-09,0.9076530348546392,0.8727415567431152
2023-11-12,0.9047343842817911,0.8640550739118273
2023-11-13,0.9034690147071724,0.8651316836247014
2023-11-14,0.9041254215098559,0.8731067564826748
2023-11-15,0.9018404292858586,0.8671307746988853
2023-11-16,0.9023896038295277,0.8640823267435217
2023-11-19,0.9041136985607897,0.8702246632625061
2023-11-20,0.9055260996719341,0.8750182944860211
2023-11-21,0.9034215771065728,0.8684380457616209
2023-11-22,0.9039533019455829,0.870923302404114
2023-11-23,0.9035565336275121,0.8677584923050192
2023-11-26,0.9025102410194284,0.8588006880366853
2023-11-27,0.9042869689966747,0.8597791495727337
2023-11-28,0.9041408901161884,0.8515303687772674
2023-11-29,0.9068546686161995,0.8536112485316184
2023-11-30,0.9006464442919345,0.8437932865619506
2023-12-03,0.8975618710986417,0.8367309003755943
2023-12-04,0.891227979948644,0.821908880029064
2023-12-05,0.8916004008228148,0.8213844680685091
2023-12-06,0.8896924943945471,0.8206788518236342
